Row,Quantity Per PCB,References,Value,Datasheet,Footprint,Description,manf,manf#,mouser#
1,13,C402 C501 C502 C503 C504 C507 C508 C509 C510 C511 C602 C603 C604,100n,https://datasheets.kyocera-avx.com/KGM_X7R.pdf,C_0402_1005Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,0402ZC104KAT4A,581-0402ZC104KAT4A
2,1,C505,220n,https://datasheets.kyocera-avx.com/KGM_X7R.pdf,C_0402_1005Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,04023C224KAT2A,581-04023C224KAT2A
3,3,C401 C404 C601,1u,https://datasheets.kyocera-avx.com/cx5r.pdf,C_0402_1005Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,04023D105KAT2A,581-04023D105KAT2A
4,1,C403,2u2,https://datasheets.kyocera-avx.com/cx5r.pdf,C_0402_1005Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,0402ZD225MAT2A,581-0402ZD225MAT2A
5,4,C405 C407 C410 C506,10u,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRJ155R60J106ME11-02A.pdf,C_0402_1005Metric,"Unpolarized capacitor, small symbol",Murata Electronics,GRJ155R60J106ME11D,81-GRJ155R60J106ME11D
6,3,C406 C408 C409,10u,https://datasheets.kyocera-avx.com/cx5r-KGM.pdf,C_0603_1608Metric,"Unpolarized capacitor, small symbol",KYOCERA AVX,KGM15CR50J106MT,581-KGM15CR50J106MT
7,1,D403,+1V8,https://www.mouser.de/datasheet/3/389/1/SSF-LXH100GD-RP.pdf,LED_0402_1005Metric,Light emitting diode,SML-LX0402SUGC-TR,Lumex,696-SML-LX0402SUGCTR
8,1,D401,+3V0,https://www.mouser.de/datasheet/3/389/1/SSF-LXH100GD-RP.pdf,LED_0402_1005Metric,Light emitting diode,SML-LX0402SUGC-TR,Lumex,696-SML-LX0402SUGCTR
9,1,D402,VSYS,https://www.mouser.de/datasheet/3/389/1/SSF-LXH100GD-RP.pdf,LED_0402_1005Metric,Light emitting diode,SML-LX0402SUGC-TR,Lumex,696-SML-LX0402SUGCTR
10,1,IC501,APDS-9306-065,https://docs.broadcom.com/docs/AV02-4755EN,Broadcom_DFN-6_2x2mm_P0.65mm,"Ambient Light Sensor, I2C interface, 1.7-3.6V, DFN-6",Broadcom / Avago,APDS-9306-065,630-APDS-9306-065
11,1,IC502,BMI270,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmi270-ds000.pdf,Bosch_LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,,Bosch,BMI270,262-BMI270
12,1,IC504,BMP581,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bmp581-ds004.pdf,Bosch_LGA-10_2x2mm_P0.5mm_ClockwisePinNumbering,,Bosch,BMP581,262-BMP581
13,1,IC505,DRV2603RUNT,https://www.ti.com/lit/ds/symlink/drv2603.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1692200896697&ref_url=https%253A%252F%252Feu.mouser.com%252F,WQFN-10_2x2mm_P0.5mm,,Texas Instruments,DRV2603RUNT,595-DRV2603RUNT
14,1,IC601,FAN5622SX,https://www.onsemi.com/download/data-sheet/pdf/fan5626-d.pdf,TSOT-23-6,,onsemi / Fairchild,FAN5622SX,512-FAN5622SX
15,1,IC503,LIS2MDLTR,http://www.st.com/content/ccc/resource/technical/document/datasheet/group3/29/13/d1/e0/9a/4d/4f/30/DM00395193/files/DM00395193.pdf/jcr:content/translations/en.DM00395193.pdf,LGA-12_2x2mm_P0.5mm,,STMicroelectronics,LIS2MDLTR,511-LIS2MDLTR
16,1,IC603,MX25U51245GZ4I00,https://www.mouser.de/datasheet/2/819/MX25U51245G_2c_1_8V_2c_512Mb_2c_v1_4-3371129.pdf,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,,Macronix,MX25U51245GZ4I00,95-25U51245GZ4I00T
17,1,IC604,NTS0104GU12,https://www.nxp.com/docs/en/data-sheet/NTS0104.pdf,XQFN-12-1.7x2mm_P0.4mm,,NXP Semiconductors,"NTS0104GU12,115",771-NTS0104GU12115
18,1,IC506,PCA9306JK,https://www.nxp.com/docs/en/data-sheet/PCA9306.pdf,XSON-8_0.65x0.17mm_P0.35mm,Dual bidirectional I2C Bus and SMBus voltage level translator,NXP Semiconductors,PCA9306JKZ,771-PCA9306JKZ
19,1,IC507,RV-8263-C8,https://www.microcrystal.com/fileadmin/Media/Products/RTC/Datasheet/RV-8263-C8.pdf,RV-8263-C8,,Micro Crystal,RV-8263-C8 32.768kHz-20PPM-TA-QA,428-204291-MC01
